investor,commit,deal_size,invite,rating,int_rate,covenants,total_fees,fee_share,prior_tier,invite_tier
Deutsche Bank,Commit,1100,250,9,Market,1,166,40.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,200,9,Market,0,115,20.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,170,6,Market,1,135,42.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,180,1,Market,1,40,2.4,Bookrunner,Bookrunner
Goldman Sachs,Decline,800,80,1,Market,2,65,8.1,Bookrunner,Participant
MUFG Union,Commit,500,80,1,Below,2,71,10.6,Participant,Bookrunner
Deutsche Bank,Commit,1400,240,8,Market,0,142,0,Participant,Bookrunner
Deutsche Bank,Commit,700,110,3,Market,2,101,21.8,Participant,Bookrunner
MUFG Union,Commit,700,90,2,Market,2,80,10.6,Bookrunner,Bookrunner
Bank of America,Commit,1500,300,6,Market,1,225,11,Bookrunner,Bookrunner
Wells Fargo,Commit,900,120,2,Market,3,158,21.8,Bookrunner,Bookrunner
Bank of America,Commit,1100,190,7,Market,1,388,116.4,Bookrunner,Bookrunner
MUFG Union,Decline,300,30,1,Market,2,38,3.3,Bookrunner,Participant
Goldman Sachs,Commit,900,170,4,Market,1,83,7.6,Bookrunner,Bookrunner
Bank of America,Decline,1000,70,3,Market,2,99,5.5,Bookrunner,Participant
Wells Fargo,Commit,1000,120,10,Market,1,167,23,Bookrunner,Participant
Bank of America,Commit,1200,180,5,Market,1,97,16.9,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,140,10,Market,0,167,20.4,Bookrunner,Participant
Bank of America,Commit,1000,150,9,Market,0,149,0,Participant,Bookrunner
MUFG Union,Commit,1200,200,3,Market,2,156,51.2,Bookrunner,Bookrunner
Bank of America,Commit,1700,290,4,Above,1,177,2.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,1500,300,2,Below,1,61,7.2,Bookrunner,Bookrunner
Wells Fargo,Commit,200,40,2,Market,1,3,0.3,Participant,Bookrunner
Deutsche Bank,Commit,1300,170,10,Market,1,210,17.6,Bookrunner,Bookrunner
MUFG Union,Commit,1000,140,9,Market,1,181,10.3,Bookrunner,Bookrunner
Bank of America,Commit,300,40,3,Market,3,47,1,Participant,Bookrunner
Goldman Sachs,Commit,1100,240,1,Market,2,123,31.7,Bookrunner,Bookrunner
MUFG Union,Commit,1800,330,3,Market,2,154,9.9,Bookrunner,Bookrunner
Wells Fargo,Commit,900,190,2,Above,2,58,0,Participant,Bookrunner
Goldman Sachs,Commit,1800,80,8,Market,0,211,0,Participant,Participant
MUFG Union,Commit,1000,170,6,Market,2,320,78.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1700,270,9,Below,0,56,0,Participant,Bookrunner
Bank of America,Commit,200,30,1,Market,2,23,4.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,1300,150,3,Market,2,115,31.9,Bookrunner,Participant
Deutsche Bank,Commit,800,100,4,Market,1,79,19.8,Bookrunner,Bookrunner
Goldman Sachs,Decline,1200,140,3,Market,2,109,13.2,Bookrunner,Participant
Deutsche Bank,Commit,1300,280,7,Market,0,119,38.6,Bookrunner,Bookrunner
MUFG Union,Commit,800,130,3,Market,2,81,5.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,110,1,Market,2,41,9.4,Bookrunner,Bookrunner
Bank of America,Decline,500,20,3,Above,2,26,1.8,Bookrunner,Participant
Wells Fargo,Commit,900,140,2,Market,2,112,23.6,Bookrunner,Bookrunner
MUFG Union,Commit,1400,300,5,Below,1,153,5.8,Participant,Bookrunner
Wells Fargo,Commit,600,140,2,Market,2,63,15.2,Bookrunner,Bookrunner
MUFG Union,Commit,700,130,3,Market,2,55,16.7,Bookrunner,Bookrunner
Bank of America,Commit,1800,280,8,Market,0,159,6.4,Bookrunner,Bookrunner
Bank of America,Decline,1500,140,2,Market,2,114,14,Bookrunner,Participant
Goldman Sachs,Commit,1500,290,10,Market,0,221,70.5,Participant,Bookrunner
Bank of America,Commit,1100,160,5,Market,1,150,12.8,Participant,Bookrunner
Wells Fargo,Commit,1800,300,9,Below,0,203,28.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,280,6,Market,1,157,24.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,1800,250,6,Above,1,103,0.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,150,1,Market,2,74,16.2,Bookrunner,Bookrunner
Deutsche Bank,Decline,1500,90,3,Market,2,110,12.7,Bookrunner,Participant
MUFG Union,Commit,800,120,2,Market,2,115,11.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,270,6,Market,0,59,1.1,Participant,Bookrunner
Wells Fargo,Commit,1100,170,9,Market,0,155,1.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,210,6,Market,1,159,12.1,Bookrunner,Bookrunner
Wells Fargo,Decline,500,50,5,Market,0,3,0.2,Bookrunner,Participant
Bank of America,Commit,1400,340,4,Market,1,102,37.6,Bookrunner,Bookrunner
MUFG Union,Commit,900,130,2,Market,2,92,25.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,500,90,3,Above,2,72,4,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,130,1,Market,2,54,0,Participant,Bookrunner
Goldman Sachs,Commit,1400,310,5,Market,1,181,49.2,Bookrunner,Bookrunner
Bank of America,Commit,1100,220,6,Below,1,99,21.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,190,5,Above,1,68,14.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1400,220,2,Market,2,146,39.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,700,130,2,Market,2,70,9.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,100,2,Market,2,102,2.6,Participant,Participant
MUFG Union,Decline,1900,180,2,Market,2,166,9.6,Bookrunner,Participant
Wells Fargo,Decline,1500,170,10,Below,0,173,10.9,Bookrunner,Participant
Wells Fargo,Commit,800,130,2,Market,2,89,16.6,Bookrunner,Bookrunner
MUFG Union,Commit,1300,230,6,Above,1,115,36.7,Bookrunner,Bookrunner
Wells Fargo,Commit,500,80,3,Market,1,14,2.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,210,3,Below,1,50,7.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,60,10,Market,0,142,19.5,Bookrunner,Participant
MUFG Union,Commit,1400,290,9,Market,1,231,13.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,260,9,Above,0,97,8.5,Bookrunner,Bookrunner
Bank of America,Decline,400,80,1,Below,2,27,0.5,Bookrunner,Bookrunner
MUFG Union,Commit,1700,290,6,Market,1,164,22.1,Bookrunner,Bookrunner
MUFG Union,Commit,1200,270,5,Market,1,155,2.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,140,4,Below,1,131,25.5,Bookrunner,Participant
MUFG Union,Commit,1000,190,2,Market,2,91,1.2,Bookrunner,Bookrunner
Wells Fargo,Commit,700,120,1,Market,2,86,7.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,90,3,Market,2,56,3.1,Bookrunner,Participant
Deutsche Bank,Commit,800,110,3,Market,2,80,16.3,Bookrunner,Bookrunner
Bank of America,Commit,600,100,2,Above,2,31,7,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,220,5,Market,0,40,8.5,Bookrunner,Bookrunner
MUFG Union,Commit,800,100,4,Market,1,91,14.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1300,130,8,Market,0,188,32.5,Participant,Participant
Deutsche Bank,Commit,1500,300,8,Market,0,218,17,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,140,3,Below,2,114,21.3,Bookrunner,Bookrunner
MUFG Union,Decline,1400,90,5,Market,1,146,7.4,Bookrunner,Participant
MUFG Union,Commit,1100,170,10,Below,1,173,10.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,2100,450,7,Market,0,212,69.3,Participant,Bookrunner
Goldman Sachs,Decline,600,40,1,Above,2,65,4.4,Bookrunner,Participant
Deutsche Bank,Commit,1100,160,4,Market,1,79,15.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,180,4,Market,1,163,29.3,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,150,4,Market,0,21,2.4,Bookrunner,Bookrunner
Bank of America,Commit,900,110,2,Market,2,57,6.8,Bookrunner,Bookrunner
MUFG Union,Commit,500,60,1,Market,2,50,3,Bookrunner,Bookrunner
MUFG Union,Commit,1800,380,6,Market,2,305,81.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,90,3,Market,2,80,20.2,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,240,2,Market,1,41,13.6,Bookrunner,Bookrunner
MUFG Union,Commit,1800,250,4,Market,1,265,33.4,Bookrunner,Bookrunner
MUFG Union,Commit,900,110,1,Market,1,-3,-0.7,Bookrunner,Bookrunner
MUFG Union,Commit,1900,280,6,Market,1,110,7.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,200,5,Market,1,127,14.2,Bookrunner,Bookrunner
MUFG Union,Commit,1100,190,10,Market,0,30,5.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1400,230,8,Market,0,143,16.3,Participant,Bookrunner
Deutsche Bank,Commit,1700,260,5,Market,1,223,28.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,100,4,Below,2,91,15.9,Participant,Bookrunner
Bank of America,Commit,1400,250,5,Market,0,69,5.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,270,2,Market,2,115,46.1,Bookrunner,Bookrunner
Bank of America,Commit,200,30,1,Market,3,39,7.8,Bookrunner,Bookrunner
Goldman Sachs,Decline,1100,70,2,Market,3,165,14.7,Bookrunner,Participant
Goldman Sachs,Commit,1300,180,8,Market,0,159,2.9,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,230,3,Market,2,133,16.5,Bookrunner,Bookrunner
MUFG Union,Commit,900,110,4,Market,1,214,51.8,Bookrunner,Bookrunner
Bank of America,Commit,800,130,1,Below,2,99,13.4,Bookrunner,Bookrunner
Bank of America,Commit,800,120,2,Market,2,60,5.4,Bookrunner,Bookrunner
Goldman Sachs,Commit,200,40,1,Market,2,27,2.4,Participant,Bookrunner
Deutsche Bank,Commit,1500,290,2,Above,2,150,5.4,Bookrunner,Bookrunner
MUFG Union,Commit,1800,320,6,Market,1,136,22.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1800,260,9,Market,1,325,31.2,Bookrunner,Bookrunner
Goldman Sachs,Decline,500,50,2,Market,2,54,6.9,Bookrunner,Participant
Goldman Sachs,Commit,900,150,2,Market,2,135,30.6,Bookrunner,Bookrunner
MUFG Union,Commit,300,50,2,Below,2,26,6.6,Bookrunner,Bookrunner
Wells Fargo,Commit,900,150,4,Market,1,211,40.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,160,9,Market,0,157,6.4,Bookrunner,Bookrunner
MUFG Union,Commit,200,40,4,Below,2,32,1.2,Participant,Bookrunner
MUFG Union,Commit,1000,190,9,Market,0,57,15,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,200,10,Below,0,82,9.5,Bookrunner,Bookrunner
Bank of America,Commit,1300,340,8,Market,0,78,25.1,Bookrunner,Bookrunner
MUFG Union,Commit,1300,170,10,Market,0,160,3.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,150,9,Market,0,157,16.8,Bookrunner,Bookrunner
MUFG Union,Commit,1000,130,10,Below,0,130,4,Bookrunner,Bookrunner
Wells Fargo,Commit,1900,280,9,Market,0,270,10.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,200,40,2,Market,3,30,8,Participant,Bookrunner
MUFG Union,Commit,2400,380,2,Below,2,186,50.8,Bookrunner,Bookrunner
Bank of America,Commit,600,80,2,Market,2,79,7,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,220,10,Market,0,94,7.1,Bookrunner,Bookrunner
Deutsche Bank,Decline,800,100,1,Market,1,19,2.2,Bookrunner,Bookrunner
MUFG Union,Commit,600,100,3,Market,2,82,24.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,500,120,3,Market,3,80,19.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,2000,220,8,Market,0,281,20,Bookrunner,Participant
Goldman Sachs,Commit,500,70,5,Market,1,56,6.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,190,2,Market,3,242,8.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1100,100,2,Market,2,67,5.5,Bookrunner,Participant
Bank of America,Commit,600,80,3,Market,1,16,1.8,Bookrunner,Bookrunner
MUFG Union,Commit,1200,220,4,Below,1,68,17.5,Participant,Bookrunner
Wells Fargo,Commit,600,80,2,Below,1,25,1.4,Participant,Bookrunner
MUFG Union,Decline,200,20,2,Market,2,26,6.7,Bookrunner,Participant
Wells Fargo,Commit,1500,150,7,Above,0,149,18.8,Bookrunner,Participant
Goldman Sachs,Commit,1000,180,5,Market,1,92,24.7,Participant,Bookrunner
Deutsche Bank,Decline,200,20,1,Market,2,22,3.8,Bookrunner,Participant
Wells Fargo,Commit,800,60,1,Market,2,111,2.3,Participant,Participant
Wells Fargo,Commit,1800,220,1,Market,1,55,3.2,Participant,Bookrunner
Bank of America,Commit,1300,250,8,Market,1,200,56.2,Participant,Bookrunner
MUFG Union,Commit,2000,280,8,Market,0,153,26.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,100,1,Market,1,33,2.2,Bookrunner,Participant
MUFG Union,Decline,600,60,1,Above,2,84,20,Bookrunner,Participant
Deutsche Bank,Commit,200,40,1,Market,1,10,3.6,Bookrunner,Bookrunner
Deutsche Bank,Decline,300,60,2,Below,2,33,2,Bookrunner,Bookrunner
MUFG Union,Commit,1200,150,4,Below,1,131,0,Participant,Bookrunner
Bank of America,Commit,600,80,4,Market,1,63,2.9,Bookrunner,Bookrunner
Bank of America,Commit,1500,210,3,Market,2,201,36.2,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,240,5,Market,1,199,19.5,Bookrunner,Bookrunner
Wells Fargo,Commit,400,70,3,Market,2,33,5.6,Bookrunner,Bookrunner
Bank of America,Commit,1000,230,4,Market,1,146,29.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,210,4,Market,1,71,0,Participant,Bookrunner
Deutsche Bank,Commit,2200,260,7,Market,0,229,8.5,Participant,Bookrunner
Wells Fargo,Commit,600,100,4,Market,1,58,17.9,Bookrunner,Bookrunner
Bank of America,Commit,500,70,2,Above,1,19,4.5,Bookrunner,Bookrunner
Deutsche Bank,Decline,1000,120,6,Market,2,307,42.7,Bookrunner,Participant
Bank of America,Commit,900,140,3,Market,2,106,32.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,220,9,Market,0,155,26.2,Bookrunner,Bookrunner
MUFG Union,Commit,600,90,5,Below,1,59,16.8,Bookrunner,Bookrunner
Bank of America,Commit,700,110,2,Market,2,49,8.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1200,210,4,Market,1,118,24.3,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,230,4,Market,1,185,36.3,Bookrunner,Bookrunner
Bank of America,Commit,1200,240,1,Market,1,50,2.3,Participant,Bookrunner
Deutsche Bank,Commit,1100,210,9,Market,0,31,7.6,Participant,Bookrunner
Deutsche Bank,Commit,300,40,3,Below,2,23,5.1,Bookrunner,Bookrunner
Wells Fargo,Commit,1400,230,10,Market,0,98,6.5,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,200,9,Market,0,89,0.5,Bookrunner,Bookrunner
MUFG Union,Commit,800,150,1,Market,2,76,9.6,Bookrunner,Bookrunner
Wells Fargo,Commit,600,110,3,Market,2,58,9.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1500,280,2,Market,2,110,33.9,Bookrunner,Bookrunner
MUFG Union,Commit,1300,140,6,Market,1,129,3.9,Participant,Participant
Deutsche Bank,Decline,2000,200,5,Market,1,162,18.1,Bookrunner,Participant
Deutsche Bank,Commit,1300,200,8,Market,0,188,45.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,180,8,Market,0,198,11.7,Participant,Participant
Goldman Sachs,Commit,800,160,1,Market,1,38,5.4,Bookrunner,Bookrunner
Wells Fargo,Commit,900,160,2,Above,2,111,15.1,Bookrunner,Bookrunner
Wells Fargo,Decline,1500,140,6,Market,1,91,13.5,Bookrunner,Participant
MUFG Union,Commit,400,50,4,Market,1,30,4.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1500,310,3,Market,2,134,26.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1000,130,6,Above,0,32,2.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,160,1,Market,1,11,2,Participant,Bookrunner
Goldman Sachs,Commit,2200,430,1,Market,2,136,25.4,Bookrunner,Bookrunner
Bank of America,Commit,200,30,2,Above,2,19,1.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,600,100,4,Market,1,40,5.8,Participant,Bookrunner
Wells Fargo,Commit,1600,230,2,Above,2,171,19.2,Participant,Bookrunner
Wells Fargo,Decline,900,90,1,Market,2,119,10.5,Bookrunner,Participant
Goldman Sachs,Decline,1700,160,10,Below,0,95,20,Bookrunner,Participant
Wells Fargo,Commit,1300,220,4,Market,1,71,4,Bookrunner,Bookrunner
MUFG Union,Commit,1400,220,3,Market,2,152,11.2,Bookrunner,Bookrunner
Wells Fargo,Commit,600,100,2,Below,2,65,15.5,Participant,Bookrunner
Deutsche Bank,Decline,1000,80,7,Below,0,118,10,Bookrunner,Participant
MUFG Union,Commit,1200,210,3,Market,2,133,0,Participant,Bookrunner
Deutsche Bank,Commit,1000,200,9,Market,1,193,11.4,Participant,Bookrunner
Goldman Sachs,Commit,1600,270,2,Above,2,171,8.7,Participant,Bookrunner
MUFG Union,Commit,400,80,2,Market,2,37,2.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,600,90,1,Below,1,22,6.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,1600,200,8,Market,0,371,5.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,190,7,Market,0,104,19,Participant,Participant
MUFG Union,Commit,1500,190,5,Market,1,167,14,Bookrunner,Bookrunner
MUFG Union,Commit,300,50,2,Market,2,35,7.2,Bookrunner,Bookrunner
MUFG Union,Commit,600,80,2,Market,3,130,26.7,Participant,Bookrunner
Deutsche Bank,Commit,600,100,1,Market,3,106,20.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,150,2,Below,2,126,5.4,Bookrunner,Bookrunner
Bank of America,Commit,800,150,3,Above,2,118,27.6,Bookrunner,Bookrunner
Bank of America,Commit,1200,170,6,Market,0,50,2.2,Bookrunner,Bookrunner
Wells Fargo,Commit,1300,160,8,Market,0,105,7.5,Bookrunner,Bookrunner
Deutsche Bank,Commit,1700,260,1,Market,2,117,23.6,Bookrunner,Bookrunner
Bank of America,Commit,1600,170,6,Market,1,188,17.9,Bookrunner,Participant
MUFG Union,Commit,1800,380,5,Market,1,150,44.1,Participant,Bookrunner
Bank of America,Commit,600,100,1,Market,3,94,28.9,Bookrunner,Bookrunner
Goldman Sachs,Decline,1100,120,8,Market,0,85,18,Bookrunner,Participant
Bank of America,Commit,600,130,3,Market,2,56,21.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1000,200,8,Market,0,73,18.6,Participant,Bookrunner
Bank of America,Commit,800,110,2,Market,3,136,6.3,Bookrunner,Bookrunner
MUFG Union,Commit,400,90,1,Market,2,56,23.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,320,5,Market,1,128,4.2,Participant,Bookrunner
MUFG Union,Commit,500,70,1,Below,3,78,15.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1600,230,6,Market,1,217,14.8,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,200,7,Market,0,64,9.8,Bookrunner,Bookrunner
Wells Fargo,Commit,700,90,1,Market,2,41,5.7,Participant,Bookrunner
Deutsche Bank,Commit,1000,180,2,Market,1,41,13.9,Bookrunner,Bookrunner
MUFG Union,Commit,1300,280,10,Market,0,188,46.1,Bookrunner,Bookrunner
Wells Fargo,Commit,200,30,2,Market,2,24,0.1,Participant,Bookrunner
Bank of America,Commit,300,40,1,Market,2,40,4.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,1800,290,3,Market,2,233,59.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1000,120,8,Market,0,79,11.1,Participant,Participant
Wells Fargo,Commit,1500,350,6,Market,1,192,77.2,Bookrunner,Bookrunner
Deutsche Bank,Decline,1200,210,10,Market,0,98,5.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,210,10,Market,0,151,30,Bookrunner,Bookrunner
MUFG Union,Commit,700,120,1,Above,2,92,9.4,Bookrunner,Bookrunner
MUFG Union,Commit,900,150,2,Market,2,69,0.7,Bookrunner,Bookrunner
Bank of America,Commit,1000,200,7,Market,0,144,26.2,Participant,Bookrunner
MUFG Union,Commit,1300,190,2,Market,2,114,0,Participant,Bookrunner
Goldman Sachs,Commit,600,100,4,Market,1,32,8.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,200,7,Market,1,197,15.8,Bookrunner,Bookrunner
Deutsche Bank,Decline,700,100,2,Below,2,41,0.9,Bookrunner,Bookrunner
Bank of America,Commit,2200,270,7,Market,0,169,4.2,Participant,Bookrunner
Goldman Sachs,Commit,300,60,3,Above,2,30,5.4,Participant,Bookrunner
MUFG Union,Decline,900,90,1,Market,2,75,4.2,Bookrunner,Participant
Goldman Sachs,Commit,800,90,3,Market,2,92,12,Participant,Participant
Bank of America,Decline,600,100,1,Market,2,44,1.1,Bookrunner,Bookrunner
Bank of America,Commit,800,180,1,Market,2,102,13.7,Participant,Bookrunner
Deutsche Bank,Commit,600,90,3,Market,2,70,13.7,Bookrunner,Bookrunner
Deutsche Bank,Decline,400,60,1,Below,3,74,10.7,Bookrunner,Bookrunner
Goldman Sachs,Decline,600,100,3,Market,2,55,2.8,Bookrunner,Bookrunner
Goldman Sachs,Decline,1400,170,7,Market,0,103,2.1,Bookrunner,Bookrunner
Deutsche Bank,Commit,800,150,2,Market,2,41,8.1,Bookrunner,Bookrunner
Wells Fargo,Commit,300,50,2,Market,3,90,4.6,Bookrunner,Bookrunner
Goldman Sachs,Decline,1000,110,2,Market,2,97,19,Bookrunner,Participant
Goldman Sachs,Decline,1400,160,5,Below,1,194,26.4,Bookrunner,Participant
Wells Fargo,Commit,400,60,2,Market,2,51,14.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,130,5,Below,1,156,17,Participant,Participant
Deutsche Bank,Commit,700,100,1,Below,1,30,6.2,Bookrunner,Bookrunner
Bank of America,Commit,900,170,1,Above,2,129,38.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,1200,210,3,Market,2,89,13.4,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,160,3,Market,2,137,38.4,Bookrunner,Bookrunner
Bank of America,Commit,1500,210,6,Market,1,79,5.5,Participant,Bookrunner
Bank of America,Commit,1200,270,5,Above,1,103,9.7,Bookrunner,Bookrunner
Wells Fargo,Commit,1100,160,2,Above,2,94,2.4,Bookrunner,Bookrunner
Bank of America,Commit,1400,310,4,Market,0,-18,-4.9,Bookrunner,Bookrunner
MUFG Union,Commit,500,80,5,Market,1,73,3.7,Bookrunner,Bookrunner
MUFG Union,Commit,300,40,3,Below,2,29,1.6,Bookrunner,Bookrunner
MUFG Union,Commit,1200,150,3,Market,1,51,1,Bookrunner,Bookrunner
Bank of America,Commit,1800,280,2,Market,2,180,8.5,Participant,Bookrunner
Deutsche Bank,Decline,600,70,2,Market,2,77,7.8,Bookrunner,Participant
Bank of America,Commit,2100,290,7,Market,0,212,2.3,Bookrunner,Bookrunner
MUFG Union,Commit,700,130,3,Market,2,61,22.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,500,90,1,Market,2,126,9.2,Bookrunner,Bookrunner
MUFG Union,Commit,300,40,2,Below,2,32,5.1,Bookrunner,Bookrunner
Goldman Sachs,Commit,1700,310,3,Above,3,287,38.7,Participant,Bookrunner
Deutsche Bank,Commit,1700,210,8,Market,0,176,38,Bookrunner,Bookrunner
Bank of America,Commit,2400,380,2,Market,2,221,1.1,Bookrunner,Bookrunner
Bank of America,Commit,800,130,2,Market,2,105,23.3,Bookrunner,Bookrunner
Wells Fargo,Commit,600,100,2,Above,2,42,6,Participant,Bookrunner
MUFG Union,Commit,1200,120,1,Market,3,182,13.7,Participant,Participant
Wells Fargo,Commit,800,140,3,Above,1,11,3,Bookrunner,Bookrunner
MUFG Union,Commit,1300,160,3,Below,2,66,10.7,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,140,3,Below,2,86,15.3,Participant,Bookrunner
Bank of America,Commit,1300,200,9,Market,1,197,50.6,Participant,Bookrunner
MUFG Union,Decline,1100,110,3,Below,1,22,4.6,Bookrunner,Participant
Goldman Sachs,Commit,1100,170,1,Market,2,162,40.3,Bookrunner,Bookrunner
Goldman Sachs,Commit,1400,300,4,Market,0,58,7.1,Bookrunner,Bookrunner
Bank of America,Commit,1100,230,10,Market,0,110,3.5,Bookrunner,Bookrunner
Wells Fargo,Commit,900,160,1,Market,1,40,0,Participant,Bookrunner
MUFG Union,Commit,1000,170,9,Market,0,72,18.5,Bookrunner,Bookrunner
Bank of America,Decline,1500,150,8,Market,0,119,10,Bookrunner,Participant
Deutsche Bank,Commit,1000,110,2,Market,2,91,11.1,Participant,Participant
Goldman Sachs,Commit,700,140,1,Market,2,69,12.6,Bookrunner,Bookrunner
Deutsche Bank,Commit,1100,190,5,Market,1,128,42.4,Bookrunner,Bookrunner
Wells Fargo,Commit,1800,310,7,Market,0,213,55,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,180,10,Market,1,235,51,Bookrunner,Bookrunner
Deutsche Bank,Decline,900,60,4,Market,1,83,11,Bookrunner,Participant
Goldman Sachs,Commit,1000,150,3,Above,2,88,8.1,Bookrunner,Bookrunner
MUFG Union,Commit,800,140,4,Market,0,21,2.6,Bookrunner,Bookrunner
Wells Fargo,Commit,1200,170,2,Market,2,76,13.8,Bookrunner,Bookrunner
Deutsche Bank,Commit,1800,360,3,Below,3,711,27.7,Participant,Bookrunner
Goldman Sachs,Commit,1200,170,4,Market,1,76,10.3,Bookrunner,Bookrunner
MUFG Union,Commit,1500,130,9,Market,0,216,21.6,Participant,Participant
Goldman Sachs,Decline,1200,140,5,Market,0,49,6.7,Bookrunner,Participant
MUFG Union,Commit,900,180,2,Market,2,91,32.9,Bookrunner,Bookrunner
Bank of America,Commit,800,100,1,Market,2,90,21.6,Bookrunner,Bookrunner
Goldman Sachs,Commit,800,160,3,Market,2,81,22.8,Participant,Bookrunner
Wells Fargo,Commit,1200,160,4,Above,1,117,17.4,Bookrunner,Bookrunner
MUFG Union,Commit,1300,330,8,Market,0,121,20.6,Participant,Bookrunner
Wells Fargo,Commit,1200,150,1,Above,2,171,3.4,Bookrunner,Bookrunner
Goldman Sachs,Decline,1100,130,4,Market,0,32,3.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,1100,160,6,Above,1,76,5.9,Bookrunner,Bookrunner
Goldman Sachs,Commit,700,110,2,Market,1,34,6.5,Bookrunner,Bookrunner
Goldman Sachs,Commit,900,120,3,Market,2,90,7.4,Participant,Bookrunner
Deutsche Bank,Decline,700,120,3,Market,2,78,0.2,Bookrunner,Bookrunner
MUFG Union,Commit,1800,290,7,Market,0,258,48.8,Bookrunner,Bookrunner
Bank of America,Commit,1700,180,6,Market,2,296,71,Bookrunner,Participant
Wells Fargo,Commit,300,50,2,Market,3,47,3.4,Bookrunner,Bookrunner
